train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn
1000.0,0.0,1000.0,1000,1000,64.14012738853503,13.741683575883114,60.0,48,131,10344.518,20.981445,10344.518,10323.536,10365.499,349.04214,71.61811,326.85315,256.96805,680.28357,0,15.05179476737976,-0.035617016,10.344518,1.9124045,11.193716,0.102548055,11.751354,5.4418693,0.51729965,5.390957,3.4542518,7.4547043,10344.518
62.625,5.206666399914632,64.0,53,72,59.94047619047619,7.486259143505441,58.0,48,88,343.96494,30.257286,352.09976,290.48007,396.8769,331.952,52.11213,315.39288,257.00775,543.54285,2004,31.157483339309692,0.19854984,5.492454,0.517687,5.405363,4.7500253,6.7679763,5.538028,0.5938792,5.453739,4.753431,8.058814,10344.518
58.6,5.021098343134555,58.0,51,70,60.0,8.215656150790632,58.0,47,97,321.73505,33.28733,317.1034,271.43655,408.0875,337.6978,62.66495,319.9266,249.46709,609.7881,4055,47.40421175956726,0.16965784,5.490359,0.53309166,5.441027,4.7577043,7.2221923,5.6282973,0.7334801,5.42672,4.741287,8.509595,10344.518
62.8125,12.16921705575178,58.5,50,109,81.71544715447155,21.698795562544333,82.0,52,180,358.6463,97.19915,323.02966,270.48016,753.65735,513.6579,172.00374,507.05423,281.81458,1322.6033,6065,62.9940185546875,0.1210373,5.709791,0.8509671,5.459298,4.747545,9.462392,6.285934,1.152965,6.0518475,4.7611494,9.879057,10344.518
85.20833333333333,21.652519419740102,92.5,57,134,117.98823529411764,37.57110720867583,105.0,64,284,540.98114,169.71078,587.71106,325.2294,893.68164,837.4702,341.0076,712.2507,385.57712,2354.0522,8110,78.56246423721313,0.11496783,6.3489227,1.2122211,6.1316004,4.7681036,9.631656,7.097913,1.5475243,7.325403,4.7583036,11.066029,10344.518
108.15789473684211,18.6159613402182,109.0,81,141,145.28985507246378,60.314658359493954,139.0,61,370,750.8931,166.33368,760.2333,506.1256,1060.2555,1118.9525,586.42944,1008.49615,351.97443,3396.7812,10165,94.80812430381775,0.16062023,6.9425645,1.4769962,7.051306,4.765059,10.147702,7.701519,1.8559929,8.020024,4.767431,11.271072,10344.518
138.9375,61.07420563339322,134.0,58,283,156.98461538461538,80.41459727948217,147.0,50,376,1058.0385,587.71704,980.81494,329.94156,2475.4368,1262.6687,799.98883,1103.698,269.4958,3456.45,12388,110.97893643379211,0.17613079,7.6152124,1.8271446,7.9696736,4.7796235,10.64728,8.043265,2.0002186,8.463083,4.7697372,11.454866,10344.518
147.35714285714286,48.37148974766193,137.0,63,243,248.46341463414635,117.45161900907313,254.0,66,604,1154.7377,492.72745,1019.755,358.4257,2205.1174,2134.7783,1173.1523,2182.2612,385.74692,5683.1714,14451,126.76955342292786,0.15105677,7.83632,1.9496909,8.200853,4.7748637,11.121887,8.591923,1.8091877,9.398617,4.777908,10.894994,10344.518
288.42857142857144,146.18467492755002,244.0,101,489,440.6521739130435,318.3952436688184,370.0,58,1000,2523.6313,1480.1633,2098.4827,677.4954,4568.2656,4212.7188,3304.1628,3426.3645,327.71948,10124.257,16470,142.35452342033386,0.19969112,8.749588,1.7572136,9.428629,4.7908235,10.93192,9.56019,1.6947128,10.293407,4.78056,11.310405,10344.518
294.14285714285717,203.96948551292706,220.0,61,639,208.52083333333334,79.5429626007578,201.0,71,390,2677.256,2115.6465,1925.4753,346.20044,6313.314,1797.486,831.7479,1676.2007,436.27914,3806.2236,18529,158.07978200912476,0.17024052,9.101891,1.9211978,10.08927,4.7875075,11.114186,8.620175,2.0540154,9.175032,4.77074,11.480305,10344.518
173.16666666666666,91.67409060846411,202.5,54,292,462.8181818181818,187.3981265947973,424.5,130,872,1450.4789,909.1959,1714.8027,302.4055,2656.0244,4419.9873,1983.8036,4070.938,920.47925,8852.8125,20607,174.9855625629425,0.18600452,8.376202,2.1040127,9.013757,4.7863684,11.408682,9.550158,1.6971711,10.295615,4.7698674,11.377264,10344.518
