train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn
1000.0,0.0,1000.0,1000,1000,1000.0,0.0,1000.0,1000,1000,4713.6533,12.196533,4713.6533,4701.4565,4725.8496,4187.5664,1266.5585,4666.0283,887.52765,4919.241,0,9.512070655822754,-1.7933847,4.713653,1.0507793,4.807543,-1.6958617,7.336165,4.1875668,1.6842587,4.657646,-1.4768716,7.8029394,4713.6533
1000.0,0.0,1000.0,1000,1000,1000.0,0.0,1000.0,1000,1000,4806.8716,98.28662,4806.8716,4708.585,4905.158,4642.795,108.2062,4664.129,4400.2607,4797.8613,2000,19.369967460632324,-2.2209558,4.8068714,1.0122635,4.875312,-1.4567335,7.613672,4.642794,0.9373141,4.7212524,-1.4464176,7.2305,4713.6533
1000.0,0.0,1000.0,1000,1000,1000.0,0.0,1000.0,1000,1000,4608.709,46.74048,4608.709,4561.9688,4655.4497,4712.9575,80.49263,4746.9126,4571.966,4826.373,4000,29.039100408554077,-2.3595808,4.608709,0.91186106,4.6884747,-1.2308862,7.2471466,4.712957,0.9467061,4.807334,-1.2975744,7.476938,4713.6533
1000.0,0.0,1000.0,1000,1000,995.4545454545455,14.373989364401723,1000.0,950,1000,4729.8477,117.11377,4729.8477,4612.734,4846.9614,4781.491,129.85393,4840.6313,4408.512,4880.7334,6000,38.722023010253906,-2.4460514,4.7298474,0.92081237,4.795497,-0.99479884,7.1846666,4.803324,0.96917367,4.885104,-1.2698382,7.3074055,4713.6533
1000.0,0.0,1000.0,1000,1000,1000.0,0.0,1000.0,1000,1000,4894.3433,46.35254,4894.3433,4847.9907,4940.696,4717.0107,78.03639,4735.7783,4547.3105,4845.838,8000,48.483546018600464,-2.4711256,4.8943434,0.91362476,4.947754,-1.3076771,7.2603,4.7170105,1.0084078,4.8275657,-1.5078112,7.3601613,4713.6533
